TOUCHLOG_BEGIN:8000ms,5000us,clear,addr=0x5D,irq=10
TOUCHLOG_DATA:us,status,int,repeats
3,0x81,0,1
5001,0x00,0,1
10001,0x81,0,1
15001,0x00,0,1
20001,0x81,0,1
25001,0x00,0,1
30001,0x00,1,1
35000,0x81,0,1
40001,0x00,0,1
45000,0x81,0,1
50001,0x00,0,1
55000,0x81,0,1
60001,0x00,0,1
65000,0x81,0,1
70001,0x00,0,1
75000,0x81,0,1
80001,0x00,0,1
85000,0x81,0,1
90001,0x00,0,1
95000,0x81,0,1
100001,0x00,0,1
105000,0x00,1,1
110000,0x81,0,1
115001,0x00,0,1
120001,0x81,0,1
125001,0x00,0,1
130001,0x81,0,1
135001,0x00,0,1
140001,0x81,0,1
145001,0x00,0,1
150001,0x81,0,1
155001,0x00,0,1
160001,0x81,0,1
165001,0x00,0,1
170001,0x00,1,1
175000,0x81,0,1
180001,0x00,0,1
185000,0x81,0,1
190001,0x00,0,1
195000,0x81,0,1
200001,0x00,0,1
205000,0x81,0,1
210001,0x00,0,1
215000,0x81,0,1
220001,0x00,0,1
225000,0x81,0,1
230001,0x00,0,1
235000,0x81,0,1
240001,0x00,0,2
250000,0x81,0,1
255001,0x00,0,1
260001,0x81,0,1
265001,0x00,0,1
270001,0x81,0,1
275001,0x00,0,1
280001,0x81,0,1
285001,0x00,0,1
290001,0x81,0,1
295000,0x00,0,1
300000,0x81,0,1
305001,0x00,0,1
310001,0x00,1,1
315000,0x81,0,1
320001,0x00,0,1
325000,0x81,0,1
330001,0x00,0,1
335000,0x81,0,1
340001,0x00,0,1
345000,0x81,0,1
350001,0x00,0,1
355000,0x81,0,1
360001,0x00,0,1
365000,0x81,0,1
370001,0x00,0,1
375000,0x81,0,1
380001,0x00,0,2
390000,0x81,0,1
395001,0x00,0,1
400001,0x81,0,1
405001,0x00,0,1
410001,0x81,0,1
415001,0x00,0,1
420001,0x81,0,1
425001,0x00,0,1
430001,0x81,0,1
435001,0x00,0,1
440001,0x81,0,1
445001,0x00,0,1
450001,0x00,1,1
455000,0x81,0,1
460001,0x00,0,1
465000,0x81,0,1
470001,0x00,0,1
475000,0x81,0,1
480001,0x00,0,1
485000,0x81,0,1
490001,0x00,0,1
495000,0x81,0,1
500001,0x00,0,1
505000,0x81,0,1
510001,0x00,0,1
515000,0x00,1,1
520000,0x81,0,1
525001,0x00,0,1
530001,0x81,0,1
535001,0x00,0,1
540001,0x81,0,1
545001,0x00,0,1
550001,0x81,0,1
555001,0x00,0,1
560001,0x81,0,1
565001,0x00,0,1
570001,0x81,0,1
575001,0x00,0,1
580001,0x81,0,1
585001,0x00,0,1
590001,0x00,1,1
595000,0x81,0,1
600001,0x00,0,1
605000,0x81,0,1
610001,0x00,0,1
615000,0x81,0,1
620001,0x00,0,1
625000,0x81,0,1
630001,0x00,0,1
635000,0x81,0,1
640001,0x00,0,1
645000,0x81,0,1
650001,0x00,0,1
655000,0x00,1,1
660000,0x81,0,1
665001,0x00,0,1
670001,0x81,0,1
675001,0x00,0,1
680001,0x81,0,1
685001,0x00,0,1
690001,0x81,0,1
